COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Madagascar,MDG,AFRO,REPORTING,6/20/2021,188752,188752,0.682,0.682,SII - Covishield,5/10/2021,1
Malawi,MWI,AFRO,REPORTING,6/20/2021,489080,383701,2.557,2.006,SII - Covishield,3/11/2021,1
Malaysia,MYS,WPRO,REPORTING,6/7/2021,3330436,2208016,10.29,6.822,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/2021,5
Maldives,MDV,SEARO,REPORTING,6/14/2021,493630,314194,91.321,58.126,"Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/2021,4
Mali,MLI,AFRO,REPORTING,6/20/2021,176038,130574,0.869,0.645,SII - Covishield,3/31/2021,1
Malta,MLT,EURO,REPORTING,6/13/2021,557758,301085,108.4,58.513,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Marshall Islands,MHL,WPRO,REPORTING,5/28/2021,29622,16005,50.042,27.038,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/29/2020,3
Martinique,MTQ,AMRO,REPORTING,6/18/2021,84824,,22.604,,Pfizer BioNTech - Comirnaty,,1
Mauritania,MRT,AFRO,REPORTING,6/20/2021,136003,129020,2.925,2.775,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/2021,2
Mauritius,MUS,AFRO,REPORTING,6/20/2021,598863,380362,47.089,29.908,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",1/26/2021,3
